,Corolla_depth_mm
Abutilon.sp,3.80
Aechmea.cf.gamosepala,8.50
Aechmea.cf.organensis,10.40
Aechmea.distichantha,12.20
Aechmea.nudicaulis,9.60
Alstroemeria.inodora,10.00
Aphelandra.colorata,32.40
Besleria.longimucronata,10.60
Billbergia.cf.amoena,32.80
Canistrum.perplexum,14.90
Canna.panniculata,29.30
Centropogon.cornutus,33.60
Edmundoa.cf.lindenii,10.90
Erythrina.speciosa,9.00
Fuchsia.regia,13.70
Geissomeria.sp.,30.60
Inga.sessilis,11.10
Justicia.sp1,26.90
Justicia.sp2,9.50
Lantana.camara,6.10
Macrocarpaea.rubra,21.40
Manettia.cordifolia,45.70
Mendoncia.sp,30.60
Mutisia.speciosa,12.60
Nematanthus.fluminensis,39.70
Nematanthus.fornix,27.50
Nematanthus.gregarius,13.80
Nematanthus.maculatus,42.60
Nemathantus.fritschii,37.80
Nidularium.innocentii,42.90
Nidularium.longiflorum,44.40
Nidularium.procerum,35.60
Nidularium.rutilans,31.90
Psittacanthus.dichroos,14.40
Psychotria.leiocarpa,6.00
Pyrostegia.venusta,17.50
Quesnelia.sp.,9.30
Sinningia.cooperi,26.30
Sinningia.elatior,27.60
Sinningia.glazioviana,30.80
Siphocampylus.convolvulaceus,31.40
Siphocampylus.longipediunculatus,31.90
Siphocampylus.sp,39.20
Spirotheca.rivieri,3.30
Tillandsia.dura,13.60
Tillandsia.geminiflora,12.00
Tillandsia.sp,12.00
Tillandsia.stricta,14.50
Vriesea.carinata,31.40
Vriesea.erythrodactylon,42.80
Vriesea.incurvata,32.20
Vriesea.inflata,33.90
Vriesea.simplex,33.50
Vriesea.sp,33.50
Wittrockia.superba,14.30
